date,eur_usd_perusd,gbp_usd_perusd,jpy_usd_perusd
2025-09-01,0.85361,0.73939,147.22
2025-09-02,0.85866,0.74721,148.63
2025-09-03,0.85815,0.74547,148.61
2025-09-04,0.85859,0.7438,148.33
2025-09-05,0.85492,0.7419,147.98
2025-09-08,0.85266,0.73917,147.84
2025-09-09,0.8515,0.73765,146.76
2025-09-10,0.85419,0.73887,147.49
2025-09-11,0.8558,0.74001,147.95
2025-09-12,0.85339,0.73844,147.92
2025-09-15,0.84991,0.7344,147.36
2025-09-16,0.84696,0.73312,146.99
2025-09-17,0.84481,0.73287,146.39
2025-09-18,0.84617,0.73447,147.44
2025-09-19,0.85208,0.74199,148.08
2025-09-22,0.84882,0.74094,147.84
2025-09-23,0.84796,0.74018,147.8
2025-09-24,0.85063,0.74268,148.44
2025-09-25,0.85186,0.74521,148.82
2025-09-26,0.85675,0.7488,149.75
2025-09-29,0.85302,0.74409,148.75
2025-09-30,0.85172,0.74389,147.99
2025-10-01,0.85295,0.74241,147.11
2025-10-02,0.85077,0.74196,146.78
2025-10-03,0.85222,0.74365,147.35
2025-10-06,0.85631,0.74456,150.04
2025-10-07,0.85719,0.74601,150.91
2025-10-08,0.86007,0.74576,152.69
2025-10-09,0.86125,0.74783,152.79
2025-10-10,0.86445,0.75285,152.54
2025-10-13,0.86438,0.75002,152.11
2025-10-14,0.86558,0.75409,152.1
2025-10-15,0.86044,0.74901,151.55
2025-10-16,0.85844,0.74478,151.28
2025-10-17,0.85609,0.74437,150.42
2025-10-20,0.858,0.74569,150.76
2025-10-21,0.86155,0.74765,152.02
2025-10-22,0.86304,0.74989,151.83
2025-10-23,0.86259,0.74968,152.63
2025-10-24,0.86118,0.75146,152.9
2025-10-27,0.85911,0.74923,152.86
2025-10-28,0.85985,0.75322,152.29
2025-10-29,0.8594,0.75688,152.17
2025-10-30,0.8658,0.76199,154.43
2025-10-31,0.8655,0.76303,154.18
2025-11-03,0.86851,0.76125,154.22
2025-11-04,0.87025,0.76538,153.5
2025-11-05,0.87017,0.76662,153.73
2025-11-06,0.86708,0.76363,153.6
2025-11-07,0.86498,0.76213,153.09
2025-11-10,0.86423,0.75862,154.1
2025-11-11,0.86393,0.7606,154.18
2025-11-12,0.86386,0.76218,154.79
2025-11-13,0.86066,0.75902,154.55
2025-11-14,0.85852,0.75944,153.86
2025-11-17,0.86259,0.75865,154.9
2025-11-18,0.86281,0.76109,155.25
2025-11-19,0.86333,0.76207,156.13
2025-11-20,0.86851,0.76559,157.61
2025-11-21,0.86806,0.76415,156.74
2025-11-24,0.86625,0.76265,156.98
2025-11-25,0.86573,0.7608,156.19
2025-11-26,0.86378,0.75805,156.42
2025-11-27,0.86311,0.75557,156.32
2025-11-28,0.8646,0.7567,156.12
2025-12-01,0.85866,0.75374,154.8
2025-12-02,0.86103,0.75736,156.07
2025-12-03,0.85704,0.75129,155.37
2025-12-04,0.85719,0.74961,154.77
2025-12-05,0.85874,0.74942,155.23
2025-12-08,0.858,0.75041,155.55
2025-12-09,0.85933,0.75062,156.36
2025-12-10,0.85955,0.75133,156.71
2025-12-11,0.85368,0.74705,155.58
2025-12-12,0.85244,0.74734,155.99
2025-12-15,0.85085,0.74696,155.13
2025-12-16,0.84918,0.74423,154.61
2025-12-17,0.8531,0.74945,155.59
2025-12-18,0.85332,0.74631,155.77
2025-12-19,0.85383,0.74795,157.23
2025-12-22,0.85143,0.74432,157.32
2025-12-23,0.84846,0.74062,156.02
2025-12-24,0.84839,0.74056,155.96
2025-12-29,0.84991,0.74163,156.36
2025-12-30,0.85056,0.74101,156.06
